1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
94 86 95 5 20 84 41 8 85 54 51 35 69 79 12 29 11 45 83 38 26 62 44 64 25 43 24 96 98 28 65 46 31 81 18 36 77 22 67 78 93 75 37 13 74 7 21 92 66 90 40 87 47 6 1 70 55 60 76 53 15 80 16 61 27 59 50 33 73 32 2 99 82 71 4 9 68 14 97 23 63 49 39 88 19 3 48 57 91 100 10 58 56 17 52 42 34 30 89 72
71 93 28 96 40 78 47 68 22 91 32 83 24 90 34 82 25 81 5 30 14 77 17 1 9 60 67 58 73 75 56 70 29 52 19 55 26 35 10 99 20 36 94 69 8 53 27 44 4 79 98 13 51 48 49 86 61 37 62 80 59 97 21 12 46 89 100 76 38 54 39 63 85 65 88 33 16 11 66 42 87 41 57 64 7 72 92 31 74 50 43 6 15 23 3 18 2 45 84 95
60 69 11 55 32 20 3 90 39 72 31 84 44 94 42 9 21 48 87 66 5 91 36 1 92 12 61 78 89 17 24 64 7 62 82 63 2 40 41 27 10 93 26 4 25 53 35 13 96 8 100 71 28 99 88 43 73 83 65 19 86 29 98 59 79 47 81 49 75 67 37 80 46 68 54 97 57 50 34 70 38 18 14 56 22 58 74 77 30 85 76 33 23 15 6 16 95 52 51 45
51 19 58 50 88 47 76 96 69 18 64 23 89 56 34 73 21 43 71 48 99 36 87 4 46 49 17 74 40 90 45 33 1 54 7 63 16 30 11 77 52 42 26 86 31 94 92 72 35 93 25 32 57 100 10 95 83 59 62 91 97 14 79 8 27 55 22 75 70 84 67 39 41 78 24 85 38 9 12 81 66 6 65 80 82 28 5 2 61 98 44 13 29 53 20 68 60 3 15 37
56 32 23 71 92 37 30 64 96 60 4 16 98 80 18 84 9 69 99 12 28 36 90 50 13 66 63 17 70 62 100 78 35 67 20 72 27 89 91 38 58 73 44 74 22 52 55 14 25 43 85 6 61 76 83 2 87 11 26 8 51 29 5 40 39 42 34 31 47 33 79 59 57 82 88 68 86 53 49 7 41 77 54 1 81 75 15 10 21 45 95 48 65 19 97 46 93 94 3 24
91 21 81 53 90 61 96 89 43 41 84 70 31 7 12 27 64 88 57 35 20 8 80 72 54 33 48 49 45 9 77 66 58 76 92 82 73 19 38 24 2 17 87 22 86 46 10 4 42 97 65 55 39 28 11 95 23 6 74 78 60 52 37 26 3 75 98 30 67 50 93 36 68 1 59 16 62 40 51 99 69 18 13 32 5 100 34 71 29 56 47 44 94 83 15 85 63 25 14 79
2 95 45 60 67 26 48 41 90 25 28 55 71 6 43 31 23 37 52 34 44 59 86 32 16 73 88 65 35 92 80 82 33 22 53 15 47 66 58 57 77 83 29 9 63 3 39 5 13 19 54 51 68 27 8 17 99 49 84 12 91 20 42 96 87 61 76 56 18 70 72 64 50 1 81 14 21 97 11 100 74 10 78 7 79 24 75 85 62 36 30 93 94 46 69 4 89 98 38 40
94 33 96 91 48 66 55 72 26 41 16 51 78 1 46 13 19 85 18 82 93 81 20 95 58 28 30 25 69 97 100 34 63 70 77 79 80 44 74 75 61 10 38 37 92 87 6 8 57 59 98 11 71 14 22 23 64 45 49 47 9 24 43 73 60 54 31 17 35 50 53 2 42 27 32 83 99 90 39 4 36 76 62 12 29 65 89 15 68 84 56 52 88 5 67 86 21 7 3 40
62 17 90 22 25 3 34 24 94 48 10 45 98 46 37 39 96 44 23 28 75 1 54 40 89 93 31 65 32 61 33 51 82 60 79 69 97 47 78 26 43 91 15 13 19 63 59 27 72 64 71 92 16 73 83 36 100 49 41 35 76 50 86 81 87 8 80 68 21 30 9 52 66 53 4 38 5 6 7 58 12 77 56 84 55 74 42 85 67 99 57 14 2 20 18 11 88 29 95 70
75 35 67 92 20 88 93 65 23 31 58 86 85 21 96 3 52 16 55 54 51 99 68 27 97 36 47 29 50 59 89 80 17 5 76 18 11 82 84 60 26 64 91 79 14 39 4 98 30 33 53 13 24 70 25 62 61 19 66 6 38 42 73 78 77 15 46 57 2 9 12 41 37 83 32 7 63 43 81 1 69 95 49 72 94 8 74 10 45 87 56 28 90 71 100 40 22 34 48 44
13 91 1 95 14 98 27 12 57 11 97 10 65 46 20 53 15 66 93 76 86 3 64 73 58 25 38 34 2 94 77 43 16 6 67 37 23 49 60 54 45 21 18 26 41 29 22 84 100 92 52 35 51 83 61 87 36 81 79 48 55 7 82 75 28 31 99 17 71 5 96 47 24 89 44 30 50 72 88 74 8 59 42 33 80 62 40 85 70 90 56 63 19 39 69 9 78 32 68 4
17 25 44 52 57 45 78 9 11 70 53 79 8 97 100 76 27 92 94 29 86 6 14 51 42 73 50 54 64 74 89 12 71 39 60 68 88 67 75 91 7 81 13 66 16 46 31 1 83 20 61 47 18 95 23 32 2 19 37 3 98 77 15 82 41 5 10 63 65 72 48 80 84 34 28 40 96 36 56 26 85 21 55 90 24 62 43 87 33 38 4 69 22 35 30 59 58 99 93 49
